normalized_title_data,normalized_abstract_data,labels
inhibition of serotonin expression in gut enteroendocrine cells results in conversion to insulin-positive cells,"disclosed herein are methods involving the targeting of 5ht biosynthesis in gut insulin-negative cells to convert them into insulin-positive cells. also, disclosed are methods for treating a disease or disorder in a mammal, preferably a human, associated with impaired pancreatic endocrine function, by administering a therapeutically effective amount of an enumerated active agent that reduces the expression, biosynthesis, signaling or biological activity of serotonin or increases its degradation, wherein administering comprises delivering the agent to gut ins− cells in the mammal. other embodiments of the method are directed to therapy wherein an agent that significantly reduces foxo1 expression, biosynthesis, signaling or biological activity or increases its degradation is administered in addition to the agent that reduces serotonin, or alternatively an agent that reduces foxo1 expression is targeted to serotonin-positive gut enteroendocrine cells.",1
stabilized human immunodeficiency virus (hiv) envelope (env) trimer vaccines and methods of using same,"the invention features stabilized human immunodeficiency virus (hiv) envelope (env) trimers. the invention also features vaccines, nucleic acids, and vectors to deliver and/or facilitate production of the stabilized hiv env trimers. in addition, the invention features methods of making and using the stabilized hiv env trimers of the invention.",1
methods and compositions for dual glycan binding aav vectors,"the present invention provides methods and compositions comprising an adeno-associated virus (aav) capsid protein, comprising one or more amino acids substitutions, wherein the substitutions introduce a new glycan binding site into the aav capsid protein.",1
compositions and methods related to protein a (spa) variants,"the present invention concerns methods and compositions for treating or preventing a bacterial infection, particularly infection by a staphylococcus bacterium. the invention provides methods and compositions for stimulating an immune response against the bacteria. in certain embodiments, the methods and compositions involve a non-toxigenic protein a (spa) variant.",1
"cannabinoid receptor cb2 ligand 4-(aminomethyl)-n, n-dialkylanilines","disclosed herein are novel cannabionid receptor-2 (cb2) agonists and inverse agonists represented by formula (i), and method of modulating the activity of cb2 by contacting the cb-2 receptor with a compound of formula (i). also, disclosed are methods for treating multiple myeloma or osteoporosis in a mammal in need thereof by modulating the activity of a cannabinoid receptor-2 (cb2).",1
methods to induce targeted protein degradation through bifunctional molecules,the present application provides bifunctional compounds which act as protein degradation inducing moieties. the present application also relates to methods for the targeted degradation of endogenous proteins through the use of the bifunctional compounds that link a cereblon-binding moiety to a ligand that is capable of binding to the targeted protein which can be utilized in the treatment of cancer. the present application also provides compounds of formula x0 and x0′:,1
universal vaccine platform,"the disclosure relates to vaccination compositions, for example, against human papillomavirus, zika virus, and flu virus. the disclosure also relates to vectors for producing the virus-like particles and immune complex platforms of the vaccination compositions.",1
methods for identifying and treating cachexia or pre-cachexia using an inhibitor of rage,"the invention provides markers indicative of pre-cachexia, compositions and methods for identifying patients with a molecular signature indicative of pre-cachexia; a culture system that reproduces the cachetic process in cells in vitro, which facilitates the screening and identification of therapeutic agents useful for disrupting (slowing, reducing, reversing, or preventing) the progression of pre-cachexia to refractory cachexia; as well as therapeutic agents identified using the culture system of the invention.",1
compositions and methods of treating autoimmune disease by reducing enterococcus,"the present invention relates to compositions and methods for treating or preventing an autoimmune disorder by reducing the amount or activity of enterococcus sp. in a subject. in certain aspects, the present invention provides methods of diagnosing a subject as having an autoimmune disease or disorder by detecting an increased amount of enterococcus sp. or anti-enterococcus sp. antibodies in the subject.",1
methods and compositions using peptides and proteins with c-terminal elements,"disclosed are compositions and methods useful for targeting and internalizing molecules into cells of interest and for penetration by molecules of tissues of interest. the compositions and methods are based on peptide sequences that are selectively internalized by a cell, penetrate tissue, or both. the disclosed internalization and tissue penetration is useful for delivering therapeutic and detectable agents to cells and tissues of interest.",1
cell-based screening and compounds that modulate gainac-transferases,"provided herein are small molecule-inhibitors of site-specific o-glycosylation and the identification of such using cell-based fluorescent biosensors. also provided herein are methods of treating kidney disease and cancer, such as breast cancer.",1
inhibiting inflammation with milk oligosaccharides,a method of inhibiting inflammation with milk oligosaccharides or glycoconjugates containing the oligosaccharides.,1
"method and apparatus for improving osseointegration, functional load, and overall strength of intraosseous implants","the present invention enables modification of an intraosseous implant device that is not only biologically non-inert, but can stimulate bone and vascular growth; decrease localized inflammation; and fight local infections. the method of the present invention provides a fiber with any of the following modifications: (1) nanofiber with pdgf, (2) nanofiber with pdgf+bmp2, and (3) nanofiber with bmp2 and ag. nanofiber can be modified with other growth factors that have been shown to improve bone growth and maturation—bmp and pdgf being the most common. nanofiber can be applied on the surface of the implant in several ways. first, a spiral micro-notching can be applied on the implant in the same direction as the threads with the nanofibers embedded into the notches. second, the entire surface of the implant may be coated with a mesh of nanofibers. third, it can be a combination of both embedding and notching.",1
system and method for shear wave elastography by transmitting ultrasound with subgroups of ultrasound transducer elements,"systems and methods for performing shear wave elastography using push and/or detection ultrasound beams that are generated by subsets of the available number of transducer elements in an ultrasound transducer. these techniques provide several advantages over currently available approaches to shear wave elastography, including the ability to use a standard, low frame rate ultrasound imaging system and the ability to measure shear wave speed throughout the entire field-of-view rather than only those regions where the push beams are not generated.",1
fluorescent labeling of transfer rna and study of protein synthesis,"provided are methods for labeling transfer rna comprising replacing the uracil component of a dihydrouridine of said transfer rna with a fluorophore. the disclosed methods may comprise fluorescent labeling of natural trnas (i.e., trnas that have been synthesized in a cell, for example, in a bacterium, a yeast cell, or a vertebrate cell) at dihydrouridine (d) positions, or fluorescent labeling of synthetic trnas. in another aspect, the present invention provides methods for assessing protein synthesis in a translation system comprise providing a trna having a fluorophore substitution for the uracil component of a dihydrouridine in a d loop of the trna; introducing the labeled trna into the translation system; irradiating the translation system with electromagnetic radiation, thereby generating a fluorescence signal from the fluorophore; detecting the fluorescence signal; and, correlating the fluorescence signal to one or more characteristics of the protein synthesis in the translation system. the disclosed methods are useful in single molecule as well as in ensemble settings.",1
methods for detecting antibodies,"complexes comprising a therapeutic monoclonal antibody and a peptide are provided. in some embodiments, the complexes may comprise a therapeutic monoclonal antibody which is not complexed to an epitope of a target protein and a peptide complexed to the therapeutic monoclonal antibody. in some embodiments, the peptide may have a length of about 5-40 amino acids and may comprise a mimetope recognized by the therapeutic monoclonal antibody, wherein the mimetope comprises a linear sequence of amino acids which is different than a linear sequence of amino acids in the epitope of the target protein.",1
enhanced video interaction for a user interface of a telepresence network,"a telepresence device may relay video, audio, and/or measurement data to a user operating a control device. a user interface may permit the user to quickly view and/or understand temporally and/or spatially disparate information. the telepresence device may pre-gather looped video of spatially disparate areas in an environment. a temporal control mechanism may start video playback at a desired point in a current or historical video segment. notations may be associated with time spans in a video and recalled by capturing an image similar to a frame in the time span of the video. an area of interest may be selected and video containing the area of interest may be automatically found. situational data may be recorded and used to recall video segments of interest. the telepresence device may synchronize video playback and movement. a series of videos may be recorded at predetermined time intervals to capture visually trending information.",1
compounds and synthetic methods for the preparation of retinoid x receptor-specific retinoids,provided herein are compounds useful for the preparation of compounds that have retinoid-like biological activity. also provided herein are processes for the preparation of compounds that have retinoid-like biological activity.,1
co-activation of mtor and stat3 pathways to promote neuronal survival and regeneration,"disclosed herein is a method of promoting sustained survival, sustained regeneration, in a lesioned mature neuron, sustained compensatory outgrowth in a neuron, or combinations thereof. the method comprises contacting the lesioned mature neuron with an effective amount of an inhibitor of pten and an effective amount of an inhibitor of socs3 to thereby promote survival and/or regeneration and/or compensatory outgrowth of the neuron. therapeutic methods of treatment of a subject with a neuronal lesion by administration of a therapeutically effective amount of an inhibitor of pten and a therapeutically effective amount of an inhibitor of socs3, are also disclosed, as are pharmaceutical compositions and devices for use in the methods.",1
compositions and methods for altering tissue specificity and improving aav9-mediated gene transfer,"a method of altering the targeting and/or cellular uptake efficiency of an adeno-associated virus (aav) viral vector having a capsid containing an aav9 cell surface binding domain is described. the method involves modifying a clade f cell surface receptor which comprises a glycan having a terminal sialic acid residue and a penultimate β-galactose residue. the modification may involve retargeting the vector by temporarily functionally ablate aav9 binding in a subset of cells, thereby redirecting the vector to another subset of cells. alternatively, the modification may involve increasing cellular update efficiency by treating the cells with a neuraminidase to expose cell surface β-galactose. also provided are compositions containing the aav9 vector and a neuraminidase. also provided is a method for purifying aav9 using β-galactose linked to solid support. also provided are mutant vectors which have been modified to alter their targeting specificity, including mutant aav9 in which the galactose binding domain is mutated and aav in which an aav9 galactose binding domain is engineered.",1
histone deacetylase 6 inhibition for enhancing t-cell function during anti-tumor response and tumor-peptide vaccination,"disclosed are methods whereby an effective amount of a hdac6 inhibitor is used to activate a subjects t-cell response to tumor or tumor vaccine. methods of using hdac6 inhibitors to increase a subjects anti-tumor immune response, alone or in conjunction with other tumor treatments, are also disclosed.",1
processing pipeline for prompt particle image reconstruction,"a computer-implemented system and method for generating a medical image is provided. in some embodiments, the medical image is generated by determining a location and an alignment for a first tracking detector with respect to a particle beam system. the direction of a beam generated from the particle beam system is determined. a first position of a first particle from a detected particle hit on the first tracking detector is also determined. a determination is made as to a first residual range of the first particle from a detected particle hit on a residual range detector. the system reconstructs a path for the first particle based on the location, the alignment, the first position, and the first residual range of the first particle. the resulting medical image that is generated by the system is based on the reconstructed path for the first particle.",1
automated assessment of bowel damage in intestinal diseases,"a computer-automated method is presented for segmenting image data for an organ of a subject, where the organ is a tubular structure. the method includes: receiving image data representing a volume of the subject, such that the image data includes the organ; generating a centerline through the organ; determining location of an outer wall of the tube within the image data, where the location of the inner wall is determined using the centerline; determining location of an outer wall of the tube within the image data, where the location of the outer wall is determined using the inner wall; and computing a measure of the organ from the image data.",1
compounds and methods of promoting myelination,the invention is a method of treating a subject with primary progressive or secondary progressive multiple sclerosis. the method comprises administering an effect amount of cis-n-cyclohexyl-n-ethyl-3-(3-chloro-4-cyclohexylphenyl)prop-2-enylamine or a pharmaceutically acceptable salt thereof to the subject.,1
"substituted pyrazino[1′,2′:1,5]pyrrolo[2,3-b]indole-1,4-diones for cancer treatment","the synthesis of various pyrazino[1′,2′:1,5]pyrrolo[2,3-b]-indole-1,4-dione analogs has been successfully implemented in the present application. from these efforts, compounds having the structure of formula i-a or formula i-b: or a pharmaceutically acceptable salt, tautomer, or stereoisomer thereof, are provided herein. these biologically active derivatives have been used to effectively treat various diseases including cancer.",1
sensitivity markers and uses for cdk7 inhibitors in breast cancers,"disclosed are targeted anti-proliferative approaches for breast cancer utilizing cdk7 inhibitors having efficacy in multiple subtypes of breast cancer, including but without limitation to er-positive, her2-positive and triple negative breast cancer. methods utilize cdk7 inhibitors alone as well in conjunction with egfr inhibitors, which provides synergistic anti-proliferative effects on breast cancer cells across a broad spectrum of breast cancer subtypes. methods for determining sensitivity of breast cancer subtypes to cdk7 inhibitors based upon cited2 expression levels are also described.",1
cleavable probes for isotope targeted glycoproteomics and methods of using the same,"methods for producing isotopically-labelled peptides are provided. aspects of the method include: contacting a sample including a metabolically tagged protein with a cleavable probe to produce a probe-protein conjugate; separating the probe-protein conjugate from the sample; digesting the probe-protein conjugate to produce a probe-peptide conjugate; and cleaving a cleavable linker to release an isotopically labelled peptide. the method may further include: identifying a predetermined isotopic pattern in a mass spectrum; determining an amino acid sequence of the isotopically labelled peptide; and identifying the site of protein glycosylation based on the determined amino acid sequence. also provided are cleavable probes for practicing the subject methods, described by the formula: a-l-(m-z) where a is an affinity tag, l is a cleavable linker, m is an isotopic label and z is a chemoselective tag capable of cross-linking a metabolically tagged protein. compositions and kits for practicing the subject methods are also provided.",1
biomarkers of cognitive dysfunction,"the present invention relates to the field of cognitive function. more specifically, the present invention provides compositions and methods useful for assessing cognitive dysfunction/function in alzheimer's disease and other diseases of cognition. in one embodiment, the method comprises the steps of (a) reducing heterocomplexes comprising nptx1 and nptx2 present in a biological sample obtained from the patient into nptx1 and nptx2 monomers; (b) covalently modifying the thiol groups of the nptx1 and nptx2 monomers to prevent re-formation of nptx1/nptx2 heterocomplexes; (c) detecting nptx2 in the sample; and (d) assessing cognitive function in the patient by comparing nptx2 detected in the sample to a control.",1
optogenetic magnetic resonance imaging,"disclosed herein are systems and methods involving the use of magnetic resonance imaging and optogenetic neural stimulation. aspects of the disclosure include modifying a target neural cell population in a first region of a brain to express light-responsive molecules. using a light pulse, the light-responsive molecules in the target neural cell population are stimulated. multiple regions of the brain are scanned via magnetic resonance imaging. the scans allow for observation of a neural reaction in response to the stimulation in at least one of the multiple regions of the brain.",1
method for isomerizing double bonds,"a method for isomerizing a double bond is provided. a substrate is exposed to an isomerase enzyme, wherein the isomerase enzyme comprises a redox-regulated ligand switch and heme b cofactor. a reducing agent changes iron (iii) to iron (ii). the enzyme isomerizes double bonds in the iron (ii) state but not in the iron (iii) state. in one embodiment, the enzyme is homologous with 15-cis-ζ-carotene isomerase (z-iso).",1
compositions and methods for diagnosis and treatment of epilepsy,"compositions and methods for diagnosis or treatment of epilepsy disease with efhc1, efhc1 agonists, or efhc1 analogs are provided. compositions and methods for diagnosis or treatment of epilepsy disease with efhc1a, efhc1a agonists, or efhc1a analogs are provided.",1
chimeric proteins and their use in identifying anti-deubiquitinase compounds,"a chimeric protein having deubiquitinase activity, methods of identifying anti-deubiquitinase compounds using chimeric proteins, and kits comprising chimeric proteins are described herein. in one aspect, a chimeric protein comprises a mammalian deubiquitinase catalytic domain, a linker domain, and a non-human deubiquitinase proteasome binding domain. in another aspect, a method of identifying a compound having deubiquitinase inhibition activity comprises a) providing an assay for identifying a compound having deubiquitinase inhibition activity, wherein the assay comprises one or more biological cells comprising a chimeric protein comprising a mammalian deubiquitinase catalytic domain, a linker domain, and a non-human deubiquitinase proteasome binding domain; b) screening the assay with at least one compound; and c) identifying a compound having deubiquitinase inhibition activity based on survival of the biological cell. in another aspect, a kit comprises a biological cell comprising a herein disclosed chimeric protein.",1
silencing of hnf4a-p2 isoforms with sirna to improve hepatocyte function in liver failure,"provided herein are antisense agents for knocking down, inhibiting, or silencing expression of an hnf4α-p2 isoform mrna in a cell or a patient. also provided are methods of knocking down, inhibiting, or silencing expression of an hnf4α-p2 isoform mrna in a cell or a patient and methods of treating a patient with liver disease, liver damage, liver inflammation, or liver failure, such as acute liver failure, ald, ah, or aclf.",1
"imidazo [1,2-a]pyridine compounds, synthesis thereof, and methods of using same","embodiments relate to the field of chemistry and biochemistry, and, more specifically, to imidazopyridine compounds, synthesis thereof, and methods of using same. disclosed herein are various imidazo[1,2-a]pyhdine compounds and methods of using the novel compounds to treat or prevent tuberculosis in a subject or to inhibit fungal growth on plant species. other embodiments include methods of synthesizing imidazo[1,2-a]pyridine compounds, such as the disclosed imidazo[1,2-a]pyridine compounds.",1
"substituted 4-phenylpiperidines, their preparation and use","the present invention provides a compound having the structure: wherein r1, r2, r3, r4, and r5 are each independently h, halogen, cf3 or c1-c4 alkyl, wherein two or more of r1, r2, r3, r4, or r5 are other than h; r6 is h, oh, or halogen; and b is a substituted or unsubstituted heterobicycle, wherein when r1 is cf3, r2 is h, r3 is f, r4 is h, and r5 is h, or r1 is h, r2 is cf3, r3 is h, r4 is cf3, and r5 is h, or r1 is cl, r2 is h, r3 is h, r4 is f, and r5 is h, or r1 is cf3, r2 is h, r3 is f, r4 is h, and r5 is h, or r1 is cf3, r2 is f, r3 is h, r4 is h, and r5 is h, or r1 is cl, r2 is f, r3 is h, r4 is h, and r5 is h, then b is other than or a pharmaceutically acceptable salt thereof.",1
system and method for feedback-driven neuromodulation,"systems and methods are provided for neuromodulation with simultaneous stimulation and reception of neuronal response. a closed-loop control system provides the ability to modulate any combination of at least five parameters of stimulation (magnitude, frequency, amplitude, time, and phase) based on any combination of at least five parameters of received signals. the neuromodulation is well-suited for deep brain stimulation (dbs) applications.",1
pectin-carboxymethylcellulose mesothelial sealants and protectants,"this disclosure relates to pectin-based polymer compositions and methods of use thereof to cover, protect, and seal injuries, e.g., surgical wounds, in a mesothelial tissue. the methods include obtaining a bioadhesive pectin-based polymer composition including a complex of high-methoxyl pectin (hmp) and carboxymethylcellulose (cmc) in a ratio from about 10 to 1 to 1 to 10 by weight; applying the composition to an injured mesothelial tissue; and applying pressure for at least one minute to enable the composition to bind to the mesothelial tissue.",1
centrally active and orally bioavailable antidotes for organophosphate exposure and methods for making and using them,"in alternative embodiments, the invention provides nucleophilic hydroxyimino-acetamido alkylamine antidotes that cross the blood-brain barrier (bbb) to catalyze the hydrolysis of organophosphate (op)-inhibited human acetylcholinesterase (hache) in the central nerve system (cns). the hydroxyimino-acetamido alkylamines of the invention are designed to fit within ache active center gorge dimensions, bind with reasonable affinity, and react with the conjugated phosphate atom in the gorge. the hydroxyimino-acetamido alkylamines of the invention are also designed to possess ionization states that govern affinity and reactivity for the two linked hache re-activation steps. in alternative embodiments, the invention provides pumps, devices, subcutaneous infusion devices, continuous subcutaneous infusion devices, infusion pens, needles, reservoirs, ampoules, a vial, a syringe, a cartridge, a disposable pen or jet injector, a prefilled pen or a syringe or a cartridge, a cartridge or a disposable pen or jet injector, a two chambered or multi-chambered pump, a syringe, a cartridge or a pen or a jet injector, comprising a compound of the invention.",1
inhibitors of mitochondrial fission and methods of use thereof,"the present disclosure provides peptides and constructs that inhibit mitochondrial fission, and compositions comprising the peptides or constructs. the present disclosure provides methods of reducing abnormal mitochondrial fission in a cell. also provided are methods for designing and validating mitochondrial fission inhibitor constructs and peptides, including but not limited to, evaluating the effects of the constructs and peptides on binding of dynamin-1-related protein (drp1) gtpase activity, drp1 to mitochondrial fission 1 protein (fis1), reduction of mitochondrial damage, reduction in cell death, inhibition of mitochondrial fragmentation in a cell under pathological conditions, and reduced loss of neurites in primary dopaminergic neurons in a parkinsonism cell culture.",1
methods for treating an infectious or neoplastic disease,"a method is provided, inter alia, for treating a subject suffering from an infectious or neoplastic disease with immunotherapy. the method includes determining the critical concentration of immune cells required to treat or eradicate an infectious or neoplastic disease in the subject using an in vitro assay of the present invention; and administering to the subject the critical concentration of immune cells determined in the assay.",1
salinosporamides and methods of use thereof,"the present invention is based on the discovery that certain fermentation products of the marine actinomycete strains cnb392 and cnb476 are effective inhibitors of hyperproliferative mammalian cells. the cnb392 and cnb476 strains lie within the family micromonosporaceae, and the generic epithet salinospora has been proposed for this obligate marine group. the reaction products produced by this strain are classified as salinosporamides, and are particularly advantageous in treating neoplastic disorders due to their low molecular weight, low ic50 values, high pharmaceutical potency, and selectivity for cancer cells over fungi.",1
delivery of negatively charged proteins using cationic lipids,"compositions, methods, strategies, kits, and systems for the delivery of negatively charged proteins, protein complexes, and fusion proteins, using cationic polymers or lipids are provided. delivery of proteins into cells can be effected in vivo, ex vivo, or in vitro. proteins that can be delivered using the compositions, methods, strategies, kits, and systems provided herein include, without limitation, enzymes, transcription factors, genome editing proteins, cas9 proteins, tales, talens, nucleases, binding proteins (e.g., ligands, receptors, antibodies, antibody fragments; nucleic acid binding proteins, etc.), structural proteins, and therapeutic proteins (e.g., tumor suppressor proteins, therapeutic enzymes, growth factors, growth factor receptors, transcription factors, proteases, etc.), as well as variants and fusions of such proteins.",1
systems and methods for airway tree segmentation,"novel systems and methods for airway segmentation are disclosed using confident airway volume, multi-scale topological and geometric leakage detection, exact leakage localization and correction, forbidden volume insertion and freezing, iterative shift in growing techniques starting with a conservative parameter/strategy and progressing toward generous ones, and a final pruning using machine learning, neural network, deep learning or artificial intelligence methods. the systems and methods are fully automated requiring no manual inputs or post-editing steps. the systems and methods use region growing-based segmentation to iteratively grow an airway tree starting with an initial seed, possibly inside the trachea, and a conservative segmentation parameter, e.g., a conservative threshold value for intensity-based region growing. the method then gradually progresses toward more generous values of the segmentation parameters until there is convergence.",1
system and method for texture analysis in magnetic resonance fingerprinting (mrf),"a method for characterizing a tissue in a subject using magnetic resonance fingerprinting (mrf) includes acquiring mrf data from a tissue in a subject using a magnetic resonance imaging (mri) system, comparing the mrf data to a mrf dictionary to identify quantitative values of at least one tissue property for the mrf data, generating a quantitative map based on the quantitative values of the at least one tissue property, identifying at least one region of interest on the quantitative map, determining at least one texture feature of the at least one region of interest of the quantitative map, characterizing the tissue in the at least one region of interest based on the at least one texture feature and generating a report indicating the characterization of the tissue based in the at least one texture feature.",1
reagents and methods for detecting protein crotonylation,"the invention provides an isolated peptide comprising a crotonylation site, a kcr-specific affinity reagent that specifically binds to the peptide, and a method for detecting protein crotonylation in a sample using the reagent.",1
aptamers that bind to natural and synthetic cannabinoids,"the subject invention provides materials and methods for single-step detection of small molecules, e.g., natural and synthetic cannabinoids, in a sample. the subjection invention provides nucleic acids materials, e.g., aptamers (nucleic acid oligonucleotides) that can bind to natural and/or synthetic cannabinoids. the method for detecting a natural or synthetic cannabinoid in a sample comprises contacting the sample with an aptamer-based sensor selective for the natural or synthetic cannabinoid, and sensitively and rapidly detecting the natural or synthetic cannabinoid in the sample. the aptamer-based sensor comprises aptamers that can specifically binds to natural and/or synthetic cannabinoids with nanomolar dissociation constant.",1
generation of human allergen- and helminth-specific ige monoclonal antibodies for diagnostic and therapeutic use,"the present disclosure is directed to human monoclonal ige antibodies, and igg antibodies engineered therefrom. such engineered antibodies can be used to blunt pathologic ige responses in subjects, such as in the treatment or prevention of allergies.",1
chemotherapeutic drug-conjugated resins and their preferential binding of methylated dna,"ligands and methods for selectively binding hypermethylated dna from a sample. the ligands include a cg-region binding molecule-conjugated resin derived from the aminoglycoside antibiotic amikacin. furthermore, the cg-region binding molecule may be conjugated to the resin with a crosslinker and/or may be modified with one or more of long chain and short chain alkyl, aryl, piperazinyl, piperidyl, and pyrrolidyl groups. such ligands are used in methods for contacting a sample to thereby selectively bind hypermethylated dna.",1
"modified guide rnas, crispr-ribonucleotprotein complexes and methods of use","described herein are modified guide rnas such as a single guide rna including, from 5′ to 3′, a single-stranded protospacer sequence, a first complementary strand of a binding region for the cas9 polypeptide, an aptamer that binds a biotin-binding molecule, and a second complementary strand of the binding region for the cas9 polypeptide. also described is an rnp complex including the modified guide rna and a cas9 polypeptide or active fragment thereof. also included are methods of modifying target genes in cells using the modified guide rnas.",1
"biomimetic membranes, methods of manufacture and uses thereof",the present invention relates to biomimetic membrane compositions and methods for making and using them.,1
kinase inhibitors for the treatment of disease,"the invention relates to compounds and their use in the treatment of disease. novel irreversible inhibitors of wild-type and mutant forms of egfr, fgfr, alk, ros, jak, btk, blk, itk, tec, and/or txk and their use for the treatment of cell proliferation disorders are described.",1
polycyclic inhibitors of cyclin-dependent kinase 7 (cdk7),"the present invention provides novel compounds of formula (i), and pharmaceutically acceptable salts, solvates, hydrates, polymorphs, co-crystals, tautomers, stereoisomers, isotopically labeled derivatives, prodrugs, and compositions thereof. also provided are methods and kits involving the inventive compounds or compositions for treating or preventing proliferative diseases (e.g., cancers (e.g., leukemia, lymphoma, melanoma, multiple myeloma, breast cancer, ewing's sarcoma, osteosarcoma, brain cancer, neuroblastoma, lung cancer), benign neoplasms, angiogenesis, inflammatory diseases, autoinflammatory diseases, and autoimmune diseases) in a subject. treatment of a subject with a proliferative disease using a compound or composition of the invention may inhibit the aberrant activity of a kinase, such as a cyclin-dependent kinase (cdk) (e.g., cyclin-dependent kinase 7 (cdk7), cyclin-dependent kinase 12 (cdk12), or cyclin-dependent kinase 13 (cdk13)), and therefore, induce cellular apoptosis and/or inhibit transcription in the subject.",1
quaternary heteroatom containing compounds,the invention provides heterocyclic compounds with quaternary centers and methods of preparing compounds. methods include the method for the preparation of a compound of formula (ii): comprising treating a compound of formula (i): with a transition metal catalyst and under alkylation conditions as valence and stability permit.,1
isolation of novel aav's and uses thereof,"the invention in some aspects relates to isolated nucleic acids, compositions, and kits useful for identifying adeno-associated viruses in cells. in some aspects, the invention provides kits and methods for producing somatic transgenic animal models using recombinant aav (raav) to an animal having at least one transgene that expresses a small interfering nucleic acid or at least one binding site for a mirna.",1
doubly attenuated late liver stage malaria parasites and related compositions and methods,"the disclosure relates to doubly attenuated malaria parasites that have had the functionality of lisp 2 and plasmei2 genes interrupted through genetic manipulation. the double attenuated malaria parasites disclosed herein are useful for methods and compositions for stimulating of vertebrate host immune systems because of the complete cessation of lifecycle progression in the late liver stage, while providing a comprehensive antigenic presentation representing wildtype liver stage parasites. the disclosure also relates to the additional blood stage and gametocyte antigens to compositions of genetically attenuated malaria parasites (gaps) to enhance efficient immune stimulation and prevention of disease and transmission related to the presence of blood stage parasites.",1
inhibition of galectin 3 binding to the airway epithelial surface to treat or prevent septic shock resulting from influenza and subsequent pneumococcal pneumonia infection,galectin 3 inhibitors and methods for treating sepsis using the same are provided herein.,1
"cross-reactive t cell epitopes of hiv, siv, and fiv for vaccines in humans and cats","the subject invention concerns methods and materials for inducing an immune response in an animal or person against an immunodeficiency virus, such as hiv, siv, or fiv. in one embodiment, a method of the invention comprises administering one or more antigens and/or immunogens to the person or animal wherein the antigen and/or immunogen comprises one or more evolutionarily conserved epitopes of immunodeficiency viruses. in one embodiment, the epitope is one that is conserved between hiv and siv, or between hiv and fiv. in another embodiment, the epitope is one that is conserved between hiv, siv, and fiv.",1
prosthetic partial fingers,"various embodiments of the present invention generally relate to prosthetic partial finger designs that can mimic the last two joints of the finger. some embodiments include a proximal phalange, a distal phalange coupled to the proximal phalange, and a knuckle track (e.g., formed in an arc). the knuckle track can be moveably coupled to the proximal phalange an may include multiple teeth formed on which the proximal phalange slides along. a ratcheting mechanism can contact the multiple teeth to allow sliding in only a first direction while the ratcheting mechanism is engaged. some embodiments include a release mechanism (e.g., a button) configured to disengage the ratcheting mechanism from the multiple teeth to allow the distal phalange to slide in a second direction. in some embodiments, the device may include a spring-back capability that automatically extends the finger after reaching full finger flexion, enabling one-handed use.",1
opportunistic plethysmography using video cameras,"a method for capturing a high-quality cardiac plethysmography signal automatically and seamlessly using the video cameras embedded in personal electronic devices, includes a program running in the background that periodically takes a picture of the person using the device, runs face detection and/or recognition algorithm, and upon detection of a face, records a video, and then processes the video using algorithms to assess video quality by extracting video quality parameters. when video quality parameters are above predefined thresholds, the recorded video is processed further to generate a plethysmography signal indicative of cardiac activity. the plethysmography signal may then be processed to deduce cardiac activity. the method maintains a pleasurable user experience with the personal electronic devices.",1
methods and devices for drug delivery to ocular tissue using microneedle,"methods and devices are provided for targeted administration of a drug to a patient's eye. in one embodiment, the method includes inserting a hollow microneedle into the sclera of the eye at an insertion site and infusing a fluid drug formulation through the inserted microneedle and into the suprachoroidal space of the eye, wherein the infused fluid drug formulation flows within the suprachoroidal space away from the insertion site during the infusion. the fluid drug formulation may flow circumferentially toward the retinochoroidal tissue, macula, and optic nerve in the posterior segment of the eye.",1
predicting pathological complete response to neoadjuvant chemotherapy from baseline breast dynamic contrast enhanced magnetic resonance imaging (dce-mri),"embodiments access a pre-neoadjuvant chemotherapy (nac) radiological image of a region of tissue demonstrating breast cancer (bca), the region of tissue including a tumoral region, the image having a plurality of pixels; extract a set of patches from the tumoral region; provide the set of patches to a convolutional neural network (cnn) configured to discriminate tissue that will experience pathological complete response (pcr) post-nac from tissue that will not; receive, from the cnn, a pixel-level localized patch probability of pcr; compute a distribution of predictions across analyzed patches based on the pixel-level localized patch probability; classify the region of tissue as a responder or non-responder based on the distribution of predictions, and display the classification. embodiments may further generate a probability mask based on the pixel-level localized patch probability; and generate a heatmap of likelihood of response to nac based on the probability mask and the pre-nac radiological image.",1
fabrication method for fused multi-layer amorphous selenium sensor,"a sensor including a layer of amorphous selenium (a-se) and at least one charge blocking layer is formed by depositing the charge blocking layer over a substrate prior to depositing the amorphous selenium, enabling the charge blocking layer to be formed at elevated temperatures. such a process is not limited by the crystallization temperature of a-se, resulting in the formation of an efficient charge blocking layer, which enables improved signal amplification of the resulting device. the sensor can be fabricated by forming first and second amorphous selenium layers over separate substrates, and then fusing the a-se layers at a relatively low temperature.",1
