title,abstract
Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription,"The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms."
"Methods for enantioselective allylic alkylation of esters, lactones, and lactams with unactivated allylic alcohols",The present disclosure provides methods for enantioselective synthesis of cyclic and acyclic α-quaternary carboxylic acid derivatives via nickel-catalyzed allylic alkylation.
γ-AA-peptide STAT3/DNA inhibitors and methods of use,"STAT3 hyperphosphorylation, dimerization and DNA binding are required for its ability to contribute to malignant transformation. As such, STAT3 has been recognized as a promising target for cancer therapy. Although a number of inhibitors of STAT3-STAT3 dimerization have been reported, molecular ligands that prevent interactions between STAT3 and DNA are very rare. The γ-AApeptide-based one-bead-one-compound (OBOC) combinatorial library was used, and identified γ-AApeptides that can selectively inhibit STAT3/DNA interaction and suppress the expression levels of STAT3 target genes in intact cells. The results not only validate γ-AApeptides as novel inhibitors of STAT3 signaling pathway, but also demonstrate that in addition to the SH2 domain, the DNA binding domain of STAT3 is targetable for the development of new generation of anti-cancer therapeutics. This also validates the approach of OBOC combinatorial library for the identification of ligands targeting traditionally recognized “undruggable targets”."
Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription,"The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms."
Polypeptide-polymer conjugates and methods of use thereof,"The present invention provides polypeptide-polymer conjugates. A subject polypeptide-polymer conjugate is useful in a variety of applications, which are also provided."
Treating extrapyramidal syndrome using trapidil,"Disclosed herein are methods, pharmaceutical combinations, or kits for the prevention or treatment of extrapyramidal syndromes, for example, dyskinesia, dystonia, akathisia, or drug-induced Parkinsonism, with the administration of a therapeutic effective amount of Trapidil, a derivative, a metabolite, a prodrug, an analog, or a pharmaceutically acceptable salt thereof."
Methods for treating cognitive deficits associated with fragile X syndrome,"Provided herein are methods of treating a cognitive deficit, including cognitive deficits associated with a Fmr1 genetic defect. More particularly, provided herein are methods in which an effective amount of a MDM2-p53 pathway inhibitor is administered to a subject afflicted with at least one cognitive deficit, whereby administration of the inhibitor improves, enhances, or rescues at least one cognitive deficit in the subject."
Compounds and methods for increasing hair growth,"A method of promoting hair growth can include: a polypeptide having a sequence that has at least 75% complementarity to or at least 75% identical to SPR4; and topically administering the polypeptide to a subject. This can include putting or causing the polypeptide to be in the skin, such as in any dermal layer. In one aspect, the method can include administering the composition topically so as to administer the polypeptide to the subject. In one aspect, the method can include administering the polypeptide to skin of the subject. In one aspect, the method can include administering the polypeptide to a hair follicle of the subject. In one aspect, the method can include administering the polypeptide to a bald spot of the subject."
Proteomics based diagnostic detection method for chronic sinusitis,"The invention provides for a proteomic approach for identification of specific bacterial protein profiles that may be used in the development of methods for the diagnosis of bacterial chronic sinusitis. The invention provides for methods for determining the presence of pathogenic bacteria in the upper respiratory tract of a subject using protein profiles of the pathogenic bacteria. The invention also provides for methods of diagnosing a bacterial infection of the upper respiratory tract of a subject using protein profiles of a pathogenic bacteria. In addition, the invention provides for devices, immunoassays and kits for identifying pathogenic bacteria in the upper respiratory tract."
Fusion genes associated with progressive prostate cancer,"The present invention relates to methods and compositions for determining whether a subject having prostate cancer is at greater risk of developing progressive disease, and methods of treating the subjects. It is based, at least in part, on the discovery that approximately 90% of men carrying at least one of the following fusion genes: TRMT11-GRIK2, SLC45A2-AMACR, MTOR-TP53BP1, LRRC59-FLJ60017, TMEM135-CCDC67 and CCNH-C5orf30 experienced prostate cancer recurrence, metastases and/or prostate cancer-specific death after radical prostatectomy (each examples of “progressive prostate cancer”), while these outcomes occurred in only 36% of men not carrying any of these fusion genes. It is also based, at least in part, on the discovery that no patient studied survived five years without recurrence if their primary prostate cancer contained a TRMT11-GRIK2 or MTOR-TP53BP1 fusion gene. It is also based, at least in part, on the discovery that the protein encoded by the MAN2A1-FER fusion gene exhibits kinase activity."
Compositions and methods for modulation of IKBKAP splicing,"The present disclosure provides compounds comprising oligonucleotides complementary to a portion of the IKBKAP gene. Certain such compounds are useful for hybridizing to a portion of the IKBKAP gene, including but not limited to a portion of the IKBKAP gene in a cell. In certain embodiments, such hybridization results in modulation of splicing of the IKBKAP gene. In certain embodiments, the IKBKAP gene includes a mutation that results in defective splicing and a truncated IKAP protein. In certain embodiments, hybridization of oligonucleotides complementary to a portion of the IKBKAP gene results in a decrease in the amount of defective splicing and truncated IKAP protein. In certain embodiments, hybridization of oligonucleotides complementary to a portion of the IKBKAP gene results in an increase in the amount of normal splicing and functional, full-length IKAP protein. In certain embodiments, oligonucleotides are used to treat Familial Dysautonomia."
Anti-Galectin-9 antibodies and uses thereof,"Disclosed herein are anti-Galectin-9 antibodies and methods of using such for inhibiting a signaling pathway mediated by Galectin-9 or eliminating pathologic cells expressing Galectin-9. Such anti-Galectin-9 antibodies may also be used to diagnose and/or to treat diseases associated with Galectin-9, such as autoimmune diseases and solid tumors."
"Sigma-2 receptor ligand drug conjugates as antitumor compounds, methods of synthesis and uses thereof","The present disclosure provides compounds of structural Formula III: or a salt thereof, wherein Y is chosen from Further provided are pharmaceutical compositions comprising these compounds, and methods for treating cancer, such as pancreatic cancer or synovial sarcoma, using the compounds and compositions."
Quaternary heteroatom containing compounds,The invention provides heterocyclic compounds with quaternary centers and methods of preparing compounds. Methods include the method for the preparation of a compound of Formula (II): comprising treating a compound of Formula (I): with a transition metal catalyst and under alkylation conditions as valence and stability permit.
"Carrier nanoparticles and related compositions, methods and systems","Carrier nanoparticles comprising a polymer containing a polyol coupled to a polymer containing a boronic acid and a linkage cleavable under reducing conditions, configured to present the polymer containing a boronic acid to an environment external to the nanoparticle and related compositions, methods and systems."
Systems and methods for oblique laser scanning,"A method for constructing a three-dimensional image of a sample includes producing electromagnetic radiation and directing the produced electromagnetic radiation such that it is incident on the sample at an oblique angle. The incident electromagnetic radiation is scanned in discrete increments to a plurality of discrete locations along a first direction, and at each discrete location, scanned along a second direction orthogonal to the first direction. The sample reflects a first portion of the incident electromagnetic radiation and absorbs a second portion of the incident electromagnetic radiation, and emits electromagnetic radiation responsive to the absorption. A plurality of cross-sectional images is produced from the reflected electromagnetic radiation and the emitted electromagnetic radiation, and each cross-sectional image is modified to compensate for the oblique angle. The modified cross-sectional images are then combined to create a three-dimensional image of the sample."
Transposition of native chromatin for personal epigenomics,"Provided herein is a method for analyzing polynucleotides such as genomic DNA. In certain embodiments, the method comprises: (a) treating chromatin isolated from a population of cells with an insertional enzyme complex to produce tagged fragments of genomic DNA; (b) sequencing a portion of the tagged fragments to produce a plurality of sequence reads; and (c) making an epigenetic map of a region of the genome of the cells by mapping information obtained from the sequence reads to the region. A kit for performing the method is also provided."
Labeling hydroxymethylated residues,"The present invention provides for novel methods for regulating and detecting the cytosine methylation status of DNA. The invention is based upon identification of a novel and surprising catalytic activity for the family of TET proteins, namely TET1, TET2, TET3, and CXXC4. The novel activity is related to the enzymes being capable of converting the cytosine nucleotide 5-methylcytosine into 5-hydroxymethylcytosine by hydroxylation."
Modulation of pre-MRNA using splice modulating oligonucleotides as therapeutic agents in the treatment of disease,"The present invention encompasses a class of compounds known as splice modulating oligonucleotides (SMOs) that modulate pre-mRNA splicing, thereby affecting expression and functionality of a specific protein in a cell. The present invention further provides compositions and methods for modulating pre-mRNA splicing using a SMO of the invention to abrogate disease-causing mutations in a protein. Accordingly, the present invention provides compositions and methods of treating a subject at risk of, susceptible to, or having a disease, disorder, or condition associated with aberrant or unwanted target pre-mRNA expression or activity."
Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription,"The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms."
"Compositions and methods for preparing β,γ-unsaturated acids",The present disclosure provides methods for enantioselective synthesis of acyclic α-quaternary carboxylic acid derivatives via iridium-catalyzed allylic alkylation.
Compositions and methods of treating of bacterial infections with β-lactamase inhibitors,A method of treating a bacterial infection in a subject in need thereof includes administering to the subject therapeutically effective amounts of at least one β-lactam antibiotic and at least one triazolylmethyl boronic acid.
IMiD screening methods IMiD-sensitive cells with mutant CRBN,The present invention features a knock-in mouse comprising a mutation in an endogenous CRBN locus and methods of use thereof.
Non-invasive diagnosis of graft rejection in organ transplant patients,"The invention provides methods, devices, compositions and kits for diagnosing or predicting transplant status or outcome in a subject who has received a transplant."
"Fusion proteins for promoting an immune response, nucleic acids encoding same, and methods of making and use thereof","Disclosed herein are compositions, cells, kits, and methods for inducing an immune response in a subject. The compositions can be used as vaccines or vaccine adjuvants against cancer (e.g., melanoma, glioma, prostate, breast) and infectious diseases (e.g., therapeutic and preventative vaccination for viruses), and can be used in cell-based therapies for preventing and treating disorders such as cancer and infection. The compositions, cells, kits and methods involve one or more nucleic acids that encode one or more LMPI fusion proteins (chimeric proteins), and in a typical embodiment, synergistic activation of immune responses by a combination of two or more LMPI fusion proteins."
Indene derivatives and uses thereof,"The present invention relates to compounds of formula (I): including any stereochemically isomeric form thereof, or pharmaceutically acceptable salts thereof, for the treatment of, for example, cancer."
Use of sulfonamide inhibitors of BCL-2 and BCL-xL to treat ophthalmic disease by selectively removing senescent cells,"Methods are provided herein for selectively killing senescent cells and for treating senescence-associated diseases and disorders by administering a senolytic agent. Senescence-associated diseases and disorders treatable by the methods using the senolytic agents described herein include cardiovascular diseases and disorders associated with or caused by arteriosclerosis, such as atherosclerosis; idiopathic pulmonary fibrosis; chronic obstructive pulmonary disease; osteoarthritis; senescence-associated ophthalmic diseases and disorders; and senescence-associated dermatological diseases and disorders."
Buccal cell diagnosis of arrhythmogenic cardiomyopathy (ACM),"Described herein are, inter alia, methods for diagnosing and treating arrhythmogenic cardiomyopathy (ACM) by detecting cardiac intercalated disk proteins, e.g., desmosomal proteins, mechanical and gap junction proteins, in buccal cells. Exemplary desmosomal and gap junction proteins that can be evaluated in the methods described herein include plakoglobin, plakophilin 1, desmoplakin, and Cx43. The methods can also include selecting and/or administering a treatment for ACM to the subject."
Methods relating to lung cancer,"The methods and assays described herein relate to detection, diagnosis, and treatment of lung cancer, e.g., by detecting the level of expression of certain miRNAs described herein and/or by therapeutically increasing the level of those miRNAs."
Compositions and methods of treating cardiac fibrosis with ifetroban,"The present invention is directed to methods of treating, preventing, and/or ameliorating fibrosis syndrome, and in particular cardiac fibrosis, by administration of a therapeutically effective amount of ifetroban, or a pharmaceutically acceptable salt thereof."
Methods of use of cyclopamine analogs,The invention provides methods for treating various conditions using derivatives of cyclopamine having the following formula:
Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription,"The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms."
Anti-sortilin antibodies and methods of use thereof,"The present disclosure is generally directed to compositions that include antibodies, e.g., monoclonal, chimeric, humanized antibodies, antibody fragments, etc., that specifically bind on or more epitopes within a Sortilin protein, e.g., human Sortilin or a mammalian Sortilin, and use of such compostions in preventing, reducing risk, or treating an individual in need thereof."
Biochemically stabilized HIV-1 Env trimer vaccine,"Stabilized trimers of a clade A strain and a clade C strain of HIV-1 are provided. Broadly neutralizing antisera against HIV-1, methods of making broadly neutralizing antisera against HIV-1, broadly neutralizing vaccines against HIV-1, as well as methods of treating subjects infected with HIV, preventing HIV infection, and inhibiting HIV-mediated activities are also provided."
High-throughput fluorescence polarization microorganism screening assay,"The present disclosure provides a high-throughput fluorescence polarization microorganism screening assay for a metabolite produced by a microorganism. The metabolite is detected using competition with a fluorescent reporter for a receptor that binds both the metabolite and the reporter. The present disclosure further provides materials used in such an assay, a kit for such an assay, an isolated microorganism identified using such an assay, and culture conditions identified using such an assay."
Compositions and methods for treatment of disorders related to CEP290,"Compositions are provided that comprise a recombinant vector carrying a nucleic acid sequence encoding a fragment of CEP290 lacking all or part of its N-terminal and C-terminal inhibitory regions, under the control of regulatory sequences which express the product of said gene in a selected cell of a mammalian subject, and a pharmaceutically acceptable carrier. These and other compositions are disclosed with are useful in methods for treating a mammalian subject having a disease associated with a CEP290 mutation, such as Lebers Congenital Amaurosis."
Stabilized assembled nanostructures for delivery of encapsulated agents,"A non-covalently assembled hydrogel or organo-gel composition with serum stability is described. Low molecular weight (<2,500 Da), generally regarded as safe (GRAS), materials assemble in the presence of a stabilizing agent at an appropriate molar percentage, forming hydrogel or organo-gel with nanostructures that resist disassembly or destabilization in serum for an extended period of time. The composition is used to deliver one or more therapeutic, prophylactic, or diagnostic agents, allowing for controlled release in response to biological stimuli such as enzymes and a greatly improved dosing efficacy."
Beta-lactamase inhibitors,"Described herein are compounds and compositions that modulate the activity of beta-lactamases. In some embodiments, the compounds described herein inhibit beta-lactamase. In certain embodiments, the compounds described herein are useful in the treatment of bacterial infections."
Compositions comprising corneoscleral tissue cross-linking agents,"A composition for opththalmic administration comprising a formaldehyde releasing agent, sodium bicarbonate, and an ophthalmically suitable carrier or excipient is provided."
Inhibitors of multidrug resistance transporter P-glycoprotein,"The present disclosure provides a method of treating a subject that is resistant to one or more drugs by identifying a subject having one or more drug resistant cells; administering to the subject a pharmaceutically effective amount of an inhibitor compound, and contacting one or more drug resistant cells with the inhibitor compound to reduce the export of the inhibitor compound from the one or more drug resistant tumor cells and to block the transport of drug(s) from the one or more drug resistant cells."
Formulations for controlled release of bupivacaine,The disclosure provides biocompatible dental material that is moldable and biodegradable and provides sustained and/or controlled delivery of one or more local anesthetics within a dental cavity or space. Such dental material is customizable for the size and shape needed for a particular patient or particular application. The dental material may also provide customizable sustained and/or controlled delivery of one or more local anesthetics.
Generation of hepatocytes from pluripotent stem cells,"Methods are provided for producing differentiated cells from stem cells, including producing hepatocytes. Compositions thereof are also provided, as are methods of treating a liver disorder."
Method and apparatus to control the heterogeneous flow of bone cement and improve osseointegration of cemented implant,"The present invention provides processes for combined applications of making grooves on an implant surface, applying MgO nanoparticles with PMMA cement, restricting the cement movement by PCL nanofiber and tethering biomolecules with PCL nanofiber to enhance mechanical stability and osseointegration of PMMA cement with bone. This is achieved through enhanced osteoconductive properties, roughness, and less viable fracture originating sites at the bone-cement interface. Such combined applications of nanoparticle and nanofiber on the mechanical stability and osseointegration of cemented implant is heretofore unknown, but as provided by the present invention can solve the debonding problem of cemented implant from bone."
Systems and methods for generating nitric oxide,"Systems and methods for nitric oxide generation are provided. In an embodiment, an NO generation system can include a controller and disposable cartridge that can provide nitric oxide to two different treatments simultaneously. The disposable cartridge has multiple purposes including preparing incoming gases for exposure to the NO generation process, scrubbing exhaust gases for unwanted materials, characterizing the patient inspiratory flow, and removing moisture from sample gases collected. Plasma generation can be done within the cartridge or within the controller. The system has the capability of calibrating NO and NO2 gas analysis sensors without the use of a calibration gas."
Compounds and anti-tumor NQO1 substrates,"Compositions comprising Formula (I) can be selectively lethal toward a variety of different cancer cell types. The compositions are useful for the management, treatment, control, or adjunct treatment of diseases, where the selective lethality is beneficial in chemotherapeutic therapy."
Linear drive transport system and method,"Present embodiments include a linear drive transport system. The system includes a plurality of fixed tracks and a junction track disposed on a conveyor configured to align the junction track with each of the plurality of fixed tracks. The plurality of fixed tracks and the junction track include one of electromagnetic coils or permanent magnets arranged in series along the respective plurality of fixed tracks and the junction track. Further, present embodiments include a plurality of movers configured to move along the fixed tracks and configured to transition between each of the plurality of fixed tracks and the junction track when aligned, wherein the movers comprise the other of the electromagnetic coils or the permanent magnets."
Catheter placement assist device and method of use,"A single-use, sterile, disposable catheter placement assist device to aid in the sterile placement of transurethral urinary catheters in female patients, and a method for catheter placement using the device. The catheter placement assist device includes a labia separator with flared wings having a curved profile. The wings meet at a valley. The catheter placement assist device also includes a posterior shield that covers the perineal tissues including the anus to prevent contamination of the sterile catheter with bacteria and may further include a spout that may be shallowly inserted into the vagina to position the catheter device to optimize labial separation, retraction of the posterior vaginal wall, perineal shielding, and visualization of the urethral meatus. The additional features of a light, a handle, a catheter tip holder, a swab storage location, and a stackable configuration may further be included with the catheter placement assist device."
Immunogenic compositions and uses thereof,Immunogenic compositions comprising viral vectors and surfactants are provided. Methods for administration and preparation of such compositions are also provided.
Backlight module and display device,"A backlight module and a display device are provided. The backlight module comprises: a light guide plate having a light incident surface; and a light source disposed on at least one side of the light guide plate. A light exit surface of the light source faces the light incident surface of the light guide plate. At least one through hole is disposed in the light guide plate, and a light adjustment component is disposed in the at least one through hole."
Integrated image reconstruction and gradient non-linearity correction with spatial support constraints for magnetic resonance imaging,"A system and method for simultaneously reconstructing magnetic resonance images and correcting those imaged for gradient nonlinearity effects are provided. As opposed to conventional methods for gradient nonlinearity correction where distortion is corrected after image reconstruction is performed, the model-based method described here prospectively accounts for the effects of gradient nonlinearity during reconstruction and implements a spatial support constraint to reduce noise amplification effects."
Translocation of a polymer through a nanopore,"Embodiments of the present disclosure are directed to methods, systems and devices, for analyzing the molecules. For example, in some embodiments, a system is provided which includes a first volume of conducting fluid, a second volume of conducting fluid, an orifice in communication with the first and second volumes of fluid, and means for applying an electric potential difference between the first and second volumes of fluid. In some such embodiments, a conjugate product is provided which includes charged polymers each having attached thereto at least one first molecule for analysis, where the product carries a predetermined charge greater than the charge on the first molecule, and upon dissolving the product in the first volume of fluid, the product is directed into the orifice."
CRISPR effector system based diagnostics,"The embodiments disclosed herein utilized RNA targeting effectors to provide a robust CRISPR-based diagnostic with attomolar sensitivity. Embodiments disclosed herein can detect broth DNA and RNA with comparable levels of sensitivity and can differentiate targets from non-targets based on single base pair differences. Moreover, the embodiments disclosed herein can be prepared in freeze-dried format for convenient distribution and point-of-care (POC) applications. Such embodiments are useful in multiple scenarios in human health including, for example, viral detection, bacterial strain typing, sensitive genotyping, and detection of disease-associated cell free DNA."
CRISPR effector system based diagnostics,"The embodiments disclosed herein utilized RNA targeting effectors to provide a robust CRISPR-based diagnostic with attomolar sensitivity. Embodiments disclosed herein can detect broth DNA and RNA with comparable levels of sensitivity and can differentiate targets from non-targets based on single base pair differences. Moreover, the embodiments disclosed herein can be prepared in freeze-dried format for convenient distribution and point-of-care (POC) applications. Such embodiments are useful in multiple scenarios in human health including, for example, viral detection, bacterial strain typing, sensitive genotyping, and detection of disease-associated cell free DNA."
Modulation of BCL11A for treatment of hemoglobinopathies,"The invention relates to methods and uses of modulating fetal hemoglobin expression (HbF) in a hematopoietic progenitor cells via inhibitors of BCL11A expression or activity, such as RNAi and antibodies."
Glycosaminoglycan and synthetic polymer materials for blood-contacting applications,"Provided herein is a composite, comprising: a polymer host selected from the group consisting of low-density polyethylene (LDPE), linear low-density polyethylene (LLDPE), polyethylene terephthalate (PET), polytetrafluoroethylene (PTFE), polypropylene (PP), polyurethane, polycaprolactone (PCL), polydimethylsiloxane (PDMS), polymethylmethacrylate (PMMA), and polyoxymethylene (POM); and a guest molecule comprising hyaluronic acid; wherein the guest molecule is disposed within the polymer host, and wherein the guest molecule is covalently bonded to at least one other guest molecule. Also provided herein are methods for forming the composite, and blood-contracting devices made from the composite, such as heart valves and vascular grafts."
Immunoconjugates with an intracellularly-cleavable linkage,"The present invention relates to therapeutic conjugates with improved ability to target various diseased cells containing a targeting moiety (such as an antibody or antibody fragment), a linker and a therapeutic moiety, and further relates to processes for making and using the conjugates."
Method and apparatus for volumetric imaging of a three-dimensional nucleic acid containing matrix,Methods of volumetric imaging of a three-dimensional matrix of nucleic acids within a cell is provided. An automated apparatus for sequencing and volumetric imaging of a three-dimensional matrix of nucleic acids is provided.
Imaging agents,"Provided herein is technology relating to imaging agents and particularly, but not exclusively, to methods of manufacturing fluorine-18-labeled phenethylguanidines and uses thereof."
Treating pulmonary conditions by selectively removing senescent cells from the lung using an intermittent dosing regimen,"Methods are provided herein for selectively killing senescent cells and for treating senescence-associated diseases and disorders by administering a senolytic agent. Senescence-associated diseases and disorders treatable by the methods using the senolytic agents described herein include cardiovascular diseases and disorders associated with or caused by arteriosclerosis, such as atherosclerosis; idiopathic pulmonary fibrosis; chronic obstructive pulmonary disease; osteoarthritis; senescence-associated ophthalmic diseases and disorders; and senescence-associated dermatological diseases and disorders."
Method and apparatus for OCT-based viscometry,"Methods and apparatus for ascertaining a relative viscosity characterizing a fluid sample. The fluid sample is illuminated through a scattering membrane adjacent to the fluid with broadband radiation. Scattering from particles within the fluid sample characterized by a distribution of characteristic dimensions spanning at least two orders of magnitude is detected, generating a detector signal as a function of depth relative to a specified surface of the scattering membrane at a plurality of temporal delays. A cross-correlation function of at least one of amplitude, phase and intensity of a scattered optical field is derived for a plurality of depths relative to the specified surface. A mean cross-correlation function is then derived for each depth and fit to obtain a diffusion coefficient, from which a relative viscosity characterizing the fluid is derived."
Methods and compositions relating to anti-Chi3l1 antibody reagents,"Described herein are methods and compositions relating to anti-Chi3L1 antibodies, antibody reagents, and antigen-binding fragments thereof which display superior properties, e.g., high sensitivity, high specificity, high binding affinity, neutralization activity ex vivo and in vivo (e.g., blocks Chi3L1-induced MAPK and AKT signaling). Methods of treatment, e.g., of treating cancer, obesity, and/or asthma by administering the compounds described herein are also provided."
Compounds for bone healing,"Disclosed herein are embodiments of a method of accelerating bone healing in a subject in need thereof, comprising administering to the subject a compound disclosed here. The method may further comprise selecting or identifying a subject that has bone damage, or is a risk of developing bone damage. The compound may be administered after bone damage has occurred, or it may be administered prophylactically. The compound may be administered to a subject that has not and/or will not be exposed to radiation. In other embodiments, the subject has been and/or will be exposed to radiation."
High-throughput single cell barcoding,"Methods and compositions for high-throughput, single cell analyzes are provided. The methods and compositions can be used for analysis of genomes and transcriptomes, as well as antibody discovery, HLA typing, haplotyping and drug discovery."
Wheat with increased resistant starch levels,"A series of independent human-induced non-transgenic mutations found at one or more of the SBEII genes of wheat; wheat plants having these mutations in one or more of their SBEII genes; and a method of creating and finding similar and/or additional mutations of SBEII by screening pooled and/or individual wheat plants. The seeds and flour from the wheat plants of the present invention exhibit an increase in amylose and resistant starch without having the inclusion of foreign nucleic acids in their genomes. Additionally, the wheat plants of the present invention exhibit altered SBEII activity without having the inclusion of foreign nucleic acids in their genomes."
Dihydroindene and tetrahydronaphthalene compounds,"The invention provides compounds of formula I: and salts thereof, as well as pharmaceutical compositions comprising such compounds. The compounds are useful for treating cancers, Alzheimer's disease, and conditions associated with demyelination."
Therapeutic compounds,"The invention provides compounds of formula I: and salts thereof, as well as pharmaceutical compositions comprising such compounds. The compounds are useful for treating cancers, Alzheimer's disease, and conditions associated with demyelination."
High-throughput adaptive sampling for whole-slide histopathology image analysis,"Methods, apparatus, and other embodiments associated with classifying a region of tissue represented in a digitized whole slide image (WSI) using iterative gradient-based quasi-Monte Carlo (QMC) sampling. One example apparatus includes an image acquisition circuit that acquires a WSI of a region of tissue demonstrating cancerous pathology, an adaptive sampling circuit that selects a subset of tiles from the WSI using an iterative QMC Sobol sequence sampling approach, an invasiveness circuit that determines a probability of a presence of invasive pathology in a member of the subset of tiles, a probability map circuit that generates an invasiveness probability map based on the probability, a probability gradient circuit that generates a gradient image based on the invasiveness probability map, and a classification circuit that classifies the region of tissue based on the probability map. A prognosis or treatment plan may be provided based on the classification of the WSI."
Sensors and assays for ubiquitin or ubiquitin-like proteins,"The present invention provides compositions comprising chimeric polypeptides that bind to free ubiquitin proteins or free ubiquitin-like proteins with high affinity, as well as chimeric polypeptides that bind to both free and conjugated ubiquitin proteins or free and conjugated ubiquitin-like proteins, and methods of using the chimeric polypeptides to determine the amount of free or total ubiquitin or free or total ubiquitin-like proteins in various types of samples."
Electronically activated strained alkynes,"Compounds of Formula I: wherein: R1 and R2 are hydrogen or C1 to C12 linear or branched alkyl; R3 is hydrogen, C1 to C12 linear or branched alkyl, or nitrogen protecting groups; X is oxygen or nitrogen; and when X is oxygen, R4 is absent; and when X is nitrogen, R4 is C1 to C12 linear or branched alkyl or nitrogen protecting groups. The compounds are useful as reagents in 1,3-cycloaddition reactions."
Selection and use of lactic acid bacteria preventing bone loss in mammals,The present invention comprises a method for selecting lactic acid bacterial strains effective for preventing bone loss in humans and strains that have been selected according to the presented method. The selection method is based on the strain's capability of reestablishing an altered microbial community to normal and/or harboring at least one of four specific SNPs.
Tagged hepadnavirus E antigen and its use in screening antiviral substances,"The present invention relates to methods and uses for screening anti-hepadnaviral substances, wherein the substances are screened for the capacity to inhibit covalently closed circular (ccc) DNA of a hepadnavirus, like hepatitis B virus. The methods and uses take advantage of cells comprising a nucleic sequence encoding a tagged hepadnavirus e antigen, like Hepatitis B virus e antigen (HBeAg). Furthermore, the present invention provides nucleic acid sequences encoding a tagged hepadnavirus e antigen and proteins encoded thereby. Also kits for use in the screening methods are provided."
Glucose oxidase compositions as a neonate anticonvulsant,"Neonatal seizure is different from adult seizure, and many antiepileptic drugs that are effective in adults often fail to treat neonatal seizure. Gluconic acid, a natural organic acid enriched in fruits and honey, and the glucose oxidase enzyme, is shown herein to potently inhibit neonatal epilepsy both in vitro and in vivo. Sodium gluconate is shown to inhibit epileptiform burst activity in cell cultures and protect neurons from kainic acid-induced cell death. Sodium gluconate also inhibited epileptiform burst activity in brain slices in a manner that was much more potent in neonatal animals than in older animals. Consistently, in vivo EEG recordings also revealed that sodium gluconate inhibited the epileptic seizure activity in a manner that was much more potent in neonates than in adult animals. Mechanistically, sodium gluconate inhibits voltage-dependent CLC-3 Cl− channels both in neuronal cultures and in hippocampal slices. Together, these data suggest a novel antiepileptic drug gluconate that potently inhibits neonatal seizures through blocking CLC-3 Cl− channels."
Methods of treating muscular dystrophy,"Disclosed herein are α7β1 integrin modulatory agents and methods of using such to treat conditions associated with decreased α7β1 integrin expression or activity, including muscular dystrophy. In one example, methods for treating a subject with muscular dystrophy are disclosed. The methods include administering an effective amount of an α7β1 integrin modulatory agent to the subject with muscular dystrophy, wherein the α7β1 integrin modulatory agent increases α7β1 integrin expression or activity as compared to α7β1 integrin expression or activity prior to treatment, thereby treating the subject with muscular dystrophy. Also disclosed are methods of enhancing muscle regeneration, repair, or maintenance in a subject and methods of enhancing α7β1 integrin expression by use of the disclosed α7β1 integrin modulatory agents. Methods of prospectively preventing or reducing muscle injury or damage in a subject are also disclosed."
